,Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Pool,New,District,Type
0,930,47,2,2,1,1,0,0,0,0,3,0
1,1000,45,2,2,1,1,0,0,0,0,3,0
2,1000,48,2,2,1,1,0,0,0,0,3,0
3,1000,48,2,2,1,1,0,0,0,0,3,0
4,1300,55,2,2,1,1,1,0,0,0,3,0
5,1170,50,2,2,1,1,0,0,0,0,3,0
6,1000,52,1,2,1,1,1,0,0,0,3,0
7,900,40,2,2,1,1,0,0,0,0,3,0
8,1000,65,2,2,1,1,0,0,0,0,3,0
9,1000,100,2,2,1,1,0,0,0,0,3,0
10,760,38,2,2,1,1,0,0,0,0,3,0
11,800,48,2,2,1,1,0,0,0,0,3,0
12,900,56,2,2,1,1,0,0,0,0,3,0
13,1000,56,2,2,1,1,0,0,0,0,3,0
14,1800,54,2,2,1,1,1,0,1,0,6,0
15,1600,45,2,2,1,1,0,0,0,0,6,0
16,1500,55,2,2,1,1,1,0,0,0,6,0
17,1600,43,2,2,1,1,1,0,0,0,6,0
18,1600,80,2,2,1,1,1,0,0,0,6,0
19,1600,46,2,2,1,1,0,0,0,0,6,0
20,1900,67,3,2,1,1,1,1,0,0,6,0
21,2500,68,3,2,1,1,0,0,1,0,6,0
22,1400,63,2,2,1,1,0,0,1,0,6,0
23,1800,59,3,2,1,1,0,0,0,0,6,0
24,1500,230,3,2,1,2,0,0,0,0,6,0
25,2300,113,3,2,1,2,1,0,0,0,6,0
26,2250,68,2,2,1,1,0,0,1,0,6,0
27,1700,65,2,2,1,1,0,0,1,0,6,0
28,1726,55,2,2,1,1,1,0,1,0,6,0
29,1700,50,1,2,1,1,1,0,1,0,6,0
30,1600,48,2,2,1,1,1,0,0,0,6,0
31,810,36,1,2,1,1,0,0,0,0,6,0
32,3000,107,3,3,1,2,1,0,1,0,6,0
33,6000,150,3,4,3,2,1,1,0,0,6,0
34,1750,60,3,2,1,1,0,0,0,0,6,0
35,2500,113,3,2,1,2,1,0,0,0,6,0
36,3800,155,3,4,3,3,1,1,0,0,6,0
37,1600,66,2,2,1,1,1,0,0,0,6,0
38,990,57,2,2,1,1,0,0,0,0,6,0
39,1850,57,2,2,1,2,0,0,1,0,6,0
40,1950,55,2,2,1,1,1,1,0,0,6,0
41,1099,85,2,2,1,1,0,0,0,0,6,0
42,2300,114,4,3,2,2,0,0,1,0,6,0
43,1500,80,3,2,1,1,0,0,0,0,6,0
44,1300,44,2,2,1,1,1,0,0,0,6,0
45,1900,55,2,2,1,1,1,1,0,0,6,0
46,1350,51,2,2,1,1,1,0,0,0,6,0
47,2500,115,3,2,1,2,1,0,1,0,6,0
48,2500,73,3,2,1,1,1,0,0,0,6,0
49,1200,48,2,2,1,1,0,0,0,0,17,0
50,1450,65,2,2,1,1,1,0,0,0,17,0
51,1100,64,3,2,1,1,1,0,0,0,17,0
52,870,58,2,2,1,1,0,0,1,0,17,0
53,1300,57,2,2,1,1,0,0,0,0,17,0
54,1000,58,2,2,1,1,0,0,0,0,17,0
55,1100,96,3,2,1,1,0,0,0,0,17,0
56,1100,48,2,2,1,1,0,0,0,0,17,0
57,800,40,1,2,1,1,0,0,0,0,17,0
58,1200,62,2,2,1,1,1,0,0,0,17,0
59,900,53,2,2,1,1,0,0,0,0,17,0
60,1150,52,2,2,1,1,0,0,0,0,17,0
61,1250,55,2,2,1,1,1,0,0,0,17,0
62,1100,60,2,2,1,1,1,0,1,0,17,0
63,1200,67,2,2,1,1,1,0,1,0,17,0
64,1200,50,2,2,1,1,0,0,0,0,17,0
65,1200,55,2,2,1,1,0,0,0,0,17,0
66,1400,55,2,2,1,1,1,0,0,0,17,0
67,1350,52,3,2,1,1,0,0,0,0,17,0
68,1200,70,3,2,1,1,0,0,0,0,17,0
69,1300,46,2,2,1,1,0,0,0,0,17,0
70,1000,48,2,2,1,1,1,0,0,0,17,0
71,1600,48,2,2,1,1,0,0,0,0,17,0
72,1600,52,2,2,1,1,1,0,1,0,17,0
73,1150,55,2,2,1,1,0,0,0,0,17,0
74,1200,45,2,2,1,1,1,0,0,0,17,0
75,1500,56,3,2,1,1,0,0,0,0,17,0
76,1120,48,2,2,1,1,0,0,0,0,17,0
77,1300,55,2,2,1,1,0,0,0,0,17,0
78,1100,60,2,2,1,1,0,0,0,0,17,0
79,1860,50,2,2,1,1,1,1,1,0,19,0
80,1400,70,2,2,1,1,1,0,1,0,19,0
81,3200,105,3,4,3,2,0,0,1,0,19,0
82,900,50,2,2,1,1,1,0,0,0,19,0
83,3500,125,3,2,1,2,0,0,0,0,19,0
84,3500,126,3,4,3,2,1,0,1,0,19,0
85,3500,98,2,1,2,2,0,0,1,0,19,0
86,1350,49,2,2,1,1,0,0,0,0,19,0
87,2300,65,2,2,1,1,1,0,1,0,19,0
88,1300,62,2,2,1,1,1,0,1,0,19,0
89,1400,64,2,2,1,1,0,0,0,0,19,0
90,3500,126,3,5,3,2,1,0,1,0,19,0
91,1600,64,3,2,1,1,0,0,1,0,19,0
92,1000,60,2,2,1,1,0,0,1,0,19,0
93,2200,75,3,2,1,2,0,0,1,0,19,0
94,1600,54,2,2,1,1,0,0,1,0,19,0
95,1700,48,2,2,1,1,1,0,1,0,19,0
96,1400,64,2,2,1,1,0,0,0,0,19,0
97,1200,48,2,2,1,1,0,0,0,0,19,0
98,1200,48,2,2,1,1,0,0,0,0,19,0
99,1000,50,2,2,1,1,0,0,0,0,19,0
100,1441,70,2,2,1,1,1,1,0,0,19,0
101,1200,56,2,2,1,1,0,0,1,0,19,0
102,1400,72,2,2,1,1,1,0,0,0,19,0
103,3100,114,3,3,1,2,1,1,1,0,19,0
104,1200,40,1,2,1,1,0,0,0,0,19,0
105,2200,106,3,2,1,1,1,0,1,0,19,0
106,1350,50,2,2,1,1,1,0,0,0,19,0
107,1500,77,3,2,1,2,1,0,1,0,19,0
108,1900,61,2,2,1,1,0,0,1,0,19,0
109,3000,198,3,2,1,3,0,0,1,0,19,0
110,1200,35,2,2,1,1,0,0,0,0,19,0
111,1500,78,3,2,1,2,0,0,1,0,19,0
112,1300,72,2,2,1,1,1,0,1,0,19,0
113,1280,62,2,2,1,1,1,0,1,0,19,0
114,1200,50,2,2,1,1,1,0,0,0,19,0
115,1300,65,3,2,1,1,0,0,0,0,23,0
116,850,50,2,2,1,1,1,0,0,0,23,0
117,900,48,2,2,1,1,1,0,0,0,23,0
118,1400,66,3,2,1,1,1,0,1,0,23,0
119,1800,82,3,2,1,1,1,1,0,0,23,0
120,1200,64,3,2,1,1,0,0,0,0,23,0
121,700,30,1,2,1,1,0,0,0,0,23,0
122,500,50,1,2,1,1,0,0,0,0,23,0
123,1200,46,2,2,1,1,1,0,0,0,23,0
124,1100,50,2,2,1,1,1,0,0,0,23,0
125,1500,63,3,2,1,1,1,0,1,0,23,0
126,1100,47,2,2,1,1,0,0,0,0,23,0
127,1100,67,2,2,1,1,0,0,0,0,23,0
128,1300,48,2,2,1,1,0,0,0,0,23,0
129,1200,56,2,2,1,1,0,0,0,0,23,0
130,1300,70,3,2,1,1,0,0,0,0,23,0
131,1800,82,3,2,1,1,1,1,0,0,23,0
132,1346,49,2,2,1,1,0,0,0,0,23,0
133,1000,50,2,2,1,1,0,0,1,0,23,0
134,1350,47,2,2,1,1,0,0,0,0,23,0
135,1000,70,2,2,1,1,0,0,0,0,23,0
136,850,50,2,2,1,1,0,0,0,0,23,0
137,950,60,2,2,1,1,1,0,1,0,23,0
138,700,47,2,2,1,1,1,0,0,0,23,0
